Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_description
0,2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L,"Design experiments, build predictive models, and collaborate with teams to optimize data-driven decision-making processes. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, SQL, TensorFlow."
1,2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S,General data role involving analysis and modeling.
2,2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,General data role involving analysis and modeling.
3,2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S,General data role involving analysis and modeling.
4,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L,"Build end-to-end ML pipelines, handle large-scale data, and ensure models are efficient and reliable. Senior position leading initiatives and mentoring juniors. Key skills: SQL, Python, Spark."
5,2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L,"Use SQL and Excel to process data, identify anomalies, and recommend actions based on performance metrics. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: AWS, Spark, Tableau."
6,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S,General data role involving analysis and modeling.
7,2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L,"Work on data visualization, feature engineering, and model deployment to support product development and strategy. Mid-level role involving independent projects and team collaboration. Key skills: TensorFlow, SQL, AWS."
8,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L,General data role involving analysis and modeling.
9,2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S,General data role involving analysis and modeling.
10,2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S,"Utilize statistical modeling and machine learning to analyze large datasets and provide actionable insights for business growth. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: AWS, TensorFlow, Python."
11,2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L,"Conduct A/B testing, interpret complex data, and communicate findings to stakeholders using tools like Python and SQL. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, SQL, Spark."
12,2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M,"Apply advanced analytics techniques to uncover patterns in data and develop algorithms for forecasting and classification. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Python, TensorFlow, Spark."
13,2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L,General data role involving analysis and modeling.
14,2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L,"Conduct ad-hoc analyses, forecast metrics, and assist in data-driven marketing or product strategies. Mid-level role involving independent projects and team collaboration. Key skills: Spark, SQL, AWS."
15,2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L,"Conduct ad-hoc analyses, forecast metrics, and assist in data-driven marketing or product strategies. Mid-level role involving independent projects and team collaboration. Key skills: AWS, Tableau, Spark."
16,2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S,"Collaborate with data scientists to create robust data architectures that support machine learning workflows. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Python, Tableau, AWS."
17,2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,General data role involving analysis and modeling.
18,2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M,General data role involving analysis and modeling.
19,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M,General data role involving analysis and modeling.
20,2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M,"Optimize algorithms for performance, integrate ML systems with software architecture, and monitor model drift. Mid-level role involving independent projects and team collaboration. Key skills: Tableau, AWS, Python."
21,2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L,General data role involving analysis and modeling.
22,2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L,"Collaborate with data scientists to create robust data architectures that support machine learning workflows. Senior position leading initiatives and mentoring juniors. Key skills: Tableau, Python, TensorFlow."
23,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M,General data role involving analysis and modeling.
24,2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L,General data role involving analysis and modeling.
25,2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L,General data role involving analysis and modeling.
26,2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,L,"Focus on ethical AI, robustness testing, and translating research into practical prototypes. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: TensorFlow, AWS, Python."
27,2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S,"Design ETL processes, optimize databases, and integrate data from multiple systems for real-time processing. Senior position leading initiatives and mentoring juniors. Key skills: SQL, Python, TensorFlow."
28,2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L,General data role involving analysis and modeling.
29,2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L,General data role involving analysis and modeling.
30,2020,MI,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S,General data role involving analysis and modeling.
31,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L,General data role involving analysis and modeling.
32,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L,"Apply advanced analytics techniques to uncover patterns in data and develop algorithms for forecasting and classification. Senior position leading initiatives and mentoring juniors. Key skills: SQL, TensorFlow, Python."
33,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M,"Collaborate on interdisciplinary projects, analyze experimental data, and innovate in fields like deep learning. Mid-level role involving independent projects and team collaboration. Key skills: Python, Spark, TensorFlow."
34,2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L,"Analyze business data to identify trends, create reports, and support strategic decisions with visualizations. Mid-level role involving independent projects and team collaboration. Key skills: Spark, TensorFlow, AWS."
35,2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L,"Build and maintain scalable data pipelines to ensure efficient data flow from sources to analytics platforms. Mid-level role involving independent projects and team collaboration. Key skills: Spark, TensorFlow, SQL."
36,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L,General data role involving analysis and modeling.
37,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L,"Optimize algorithms for performance, integrate ML systems with software architecture, and monitor model drift. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: Tableau, TensorFlow, Spark."
38,2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S,"Use SQL and Excel to process data, identify anomalies, and recommend actions based on performance metrics. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: AWS, TensorFlow, Python."
39,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S,"Develop custom solutions for computer vision or NLP tasks, focusing on deployment and maintenance. Entry-level position requiring basic knowledge and eagerness to learn. Key skills: TensorFlow, AWS, Spark."
40,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S,"Conduct A/B testing, interpret complex data, and communicate findings to stakeholders using tools like Python and SQL. Mid-level role involving independent projects and team collaboration. Key skills: Spark, Python, SQL."
41,2020,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L,General data role involving analysis and modeling.
42,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M,General data role involving analysis and modeling.
43,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L,"Build and maintain scalable data pipelines to ensure efficient data flow from sources to analytics platforms. Mid-level role involving independent projects and team collaboration. Key skills: TensorFlow, SQL, Python."
44,2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L,"Build and maintain scalable data pipelines to ensure efficient data flow from sources to analytics platforms. Mid-level role involving independent projects and team collaboration. Key skills: TensorFlow, SQL, AWS."
45,2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S,General data role involving analysis and modeling.
46,2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S,"Design experiments, build predictive models, and collaborate with teams to optimize data-driven decision-making processes. Mid-level role involving independent projects and team collaboration. Key skills: AWS, Spark, Python."
47,2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L,"Build and maintain scalable data pipelines to ensure efficient data flow from sources to analytics platforms. Senior position leading initiatives and mentoring juniors. Key skills: SQL, Tableau, AWS."
